metaData__createdTimestamp,metaData__safeAlertSpecVersion,geometry__geometryAsWKTString,geometry__radius,safeAlertList__safeAlertItem__sourceId,safeAlertList__safeAlertItem__safeAlertType,safeAlertList__safeAlertItem__severity,safeAlertList__safeAlertItem__geometry__|,safeAlertList__safeAlertItem__geometry__|__latitude,safeAlertList__safeAlertItem__geometry__|__longitude
,,,,,,,,41.88087328,-87.63036677
,,,,,,,,41.8806699,-87.63036677
,,,,,,,,41.8806699,-87.63063285
,,,,,,,,41.8805772,-87.63063285
,,,,,,,,41.8805772,-87.63066285
,,,,,,,,41.88037382,-87.63066285
,,,,,,,,41.88037382,-87.63092893
,,,,,,,,41.8806699,-87.63092893
,,,,,,,,41.8806699,-87.631225
,,,,,,,,41.88087328,-87.631225
,,,,,,,,41.88087328,-87.63095893
,,,,,,,,41.88096598,-87.63095893
,,,,,,,,41.88096598,-87.63092893
,,,,,,,,41.88116936,-87.63092893
,,,,,,,endGeometryPoint,41.88116936,-87.63066285
,,,,4148,Parked,Low,begin,41.88353799,-87.63362364
,,,,,,,geometryPointList,41.88347461,-87.63362364
,,,,,,,,41.88347461,-87.63332756
,,,,,,,,41.88324191,-87.63332756
,,,,,,,,41.88324191,-87.63362364
,,,,,,,,41.88317853,-87.63362364
,,,,,,,,41.88294583,-87.63362364
,,,,,,,,41.88294583,-87.63391972
,,,,,,,,41.88317853,-87.63391972
,,,,,,,,41.88324191,-87.63391972
,,,,,,,,41.88324191,-87.63421579
,,,,,,,,41.88347461,-87.63421579
,,,,,,,,41.88347461,-87.63391972
,,,,,,,,41.88353799,-87.63391972
,,,,,,,,41.88377069,-87.63391972
,,,,,,,,41.88377069,-87.63362364
,,,,,,,endGeometryPoint,41.88353799,-87.63362364
,,,,4153,Parked,Low,begin,41.88590662,-87.64250601
,,,,,,,geometryPointList,41.88584324,-87.64250601
,,,,,,,,41.88584324,-87.64220993
,,,,,,,,41.88561054,-87.64220993
,,,,,,,,41.88561054,-87.64250601
,,,,,,,,41.88554716,-87.64250601
,,,,,,,,41.88531446,-87.64250601
,,,,,,,,41.88531446,-87.64280209
,,,,,,,,41.88554716,-87.64280209
,,,,,,,,41.88561054,-87.64280209
,,,,,,,,41.88561054,-87.64309816
,,,,,,,,41.88584324,-87.64309816
,,,,,,,,41.88584324,-87.64280209
,,,,,,,,41.88590662,-87.64280209
,,,,,,,,41.88613932,-87.64280209
,,,,,,,,41.88613932,-87.64250601
,,,,,,,endGeometryPoint,41.88590662,-87.64250601
,,,,4154,Parked,Low,begin,41.88590662,-87.63243932
,,,,,,,geometryPointList,41.88584324,-87.63243932
,,,,,,,,41.88584324,-87.63214324
,,,,,,,,41.88561054,-87.63214324
,,,,,,,,41.88561054,-87.63243932
,,,,,,,,41.88554716,-87.63243932
,,,,,,,,41.88531446,-87.63243932
,,,,,,,,41.88531446,-87.6327354
,,,,,,,,41.88554716,-87.6327354
,,,,,,,,41.88561054,-87.6327354
,,,,,,,,41.88561054,-87.63303148
,,,,,,,,41.88584324,-87.63303148
,,,,,,,,41.88584324,-87.6327354
,,,,,,,,41.88590662,-87.6327354
,,,,,,,,41.88613932,-87.6327354
,,,,,,,,41.88613932,-87.63243932
,,,,,,,endGeometryPoint,41.88590662,-87.63243932
,,,,4155,Parked,Low,begin,41.88590662,-87.62947853
,,,,,,,geometryPointList,41.88584324,-87.62947853
,,,,,,,,41.88584324,-87.62918245
,,,,,,,,41.88561054,-87.62918245
,,,,,,,,41.88561054,-87.62947853
,,,,,,,,41.88554716,-87.62947853
,,,,,,,,41.88531446,-87.62947853
,,,,,,,,41.88531446,-87.62977461
,,,,,,,,41.88561054,-87.62977461
,,,,,,,,41.88590662,-87.62977461
,,,,,,,,41.88613932,-87.62977461
,,,,,,,,41.88613932,-87.62947853
,,,,,,,endGeometryPoint,41.88590662,-87.62947853
,,,,4158,Parked,Low,begin,41.88702756,-87.62770206
,,,,,,,geometryPointList,41.88679486,-87.62770206
,,,,,,,,41.88679486,-87.62740598
,,,,,,,,41.88673148,-87.62740598
,,,,,,,,41.88673148,-87.62770206
,,,,,,,,41.88649878,-87.62770206
,,,,,,,,41.8864354,-87.62770206
,,,,,,,,41.8864354,-87.62799814
,,,,,,,,41.88649878,-87.62799814
,,,,,,,,41.88673148,-87.62799814
,,,,,,,,41.88673148,-87.62829421
,,,,,,,,41.88679486,-87.62829421
,,,,,,,,41.88679486,-87.62799814
,,,,,,,,41.88702756,-87.62799814
,,,,,,,,41.88709094,-87.62799814
