ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11063573,JA401894,8/22/17 11:55,047XX S WESTERN AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,922,9,12,58,6,1161162,1873367,2017,8/29/17 15:56,41.80820174,-87.68442005,"(41.808201741, -87.684420054)"
11063688,JA401960,8/22/17 17:40,002XX E 47TH ST,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,215,2,3,38,08B,1178510,1873911,2017,8/29/17 15:56,41.80931746,-87.62077557,"(41.809317464, -87.620775574)"
11063997,JA402393,8/22/17 23:50,009XX E 104TH ST,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,512,5,9,50,3,1184238,1836191,2017,8/29/17 15:56,41.70567778,-87.60094436,"(41.705677782, -87.600944364)"
11064014,JA402437,8/22/17 21:30,002XX W 87TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,622,6,21,44,6,1176436,1847222,2017,8/29/17 15:56,41.73612686,-87.62918406,"(41.736126864, -87.629184056)"
11064016,JA402455,8/22/17 22:20,002XX W 87TH ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,622,6,21,44,6,1176436,1847222,2017,8/29/17 15:56,41.73612686,-87.62918406,"(41.736126864, -87.629184056)"
11064025,JA402361,8/22/17 22:00,013XX E 67TH ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,321,3,5,42,04B,1186345,1860842,2017,9/17/17 15:44,41.77327325,-87.59245167,"(41.773273248, -87.592451667)"
11064067,JA402391,8/22/17 20:53,030XX W 26TH ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,1033,10,12,30,08B,1156324,1886588,2017,8/29/17 15:56,41.84458068,-87.70180834,"(41.844580682, -87.701808336)"
11064329,JA402725,8/22/17 20:00,0000X W 26TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,133,1,3,35,6,1176575,1887109,2017,8/29/17 15:56,41.84557767,-87.62747503,"(41.845577671, -87.627475027)"
11064938,JA403236,8/22/17 12:00,068XX N GREENVIEW AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2431,24,49,1,6,1165135,1945445,2017,8/29/17 15:56,42.00590543,-87.66779686,"(42.00590543, -87.667796864)"
11065220,JA401116,8/22/17 4:50,049XX S KEDZIE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,821,8,14,63,17,1155883,1871503,2017,8/29/17 15:56,41.80319442,-87.70383236,"(41.803194418, -87.703832357)"
11063663,JA401961,8/22/17 17:20,001XX N WESTERN AVE,560,ASSAULT,SIMPLE,GAS STATION,TRUE,FALSE,1223,12,2,28,08A,1160392,1900695,2017,8/30/17 15:55,41.88320862,-87.6864893,"(41.883208624, -87.686489297)"
